702,187,Product_life-CycleManagement,0.6541582200129213
162,94,Business Model,0.6541573955267682
303,94,Business Model,0.6541573955267682
794,59,Cloud_Computing,0.6541567481171982
794,65,Cloud Computing,0.6541567481171982
724,174,NoSQL,0.6541531139733578
182,85,Non-store_retailing,0.6541512952663386
476,86,Digital_economy,0.6541504342156168
986,109,Primary_Research,0.6541482136843331
796,215,Software_developer,0.6541452226618456
946,177,DB3,0.6541435810906896
512,54,Employment_agency,0.6541416918915945
405,74,MATLAB,0.6541406398451228
405,119,MATLAB,0.6541406398451228
392,88,Business Management,0.6541379899295161
510,101,RM5,0.6541357307036385
549,54,Employment_agency,0.6541307246661349
385,162,DB5,0.654126890964057
609,33,Financial_market_efficiency,0.6541255689667465
177,86,Digital_economy,0.654124944840941
119,84,E-commerce_credit_card_payment_system,0.6541242804655734
292,207,Scala,0.6541238973920274
346,52,Human_resource_management,0.6541212926258816
867,160,RDBMS,0.6541211541758591
79,165,MonetDB,0.6541197222818149
859,203,Java,0.6541170700951211
779,83,Types_of_e-commerce,0.6541148721895003
280,34,FinancialRegulation,0.6541129854361537
196,93,Service-oriented modeling,0.6541128597327238
723,203,Java,0.6541078612961475
231,141,Machine learning,0.6541074127761007
231,144,Machine_learning,0.6541074127761007
300,206,System_programming,0.6541030848041571
809,40,StatisticalTechniques,0.6541013487044388
655,186,VirtualProductDevelopment,0.6540964549433359
967,135,Unsupervised_learning,0.6540952051491944
967,149,Unsupervised learning,0.6540952051491944
361,51,Employment_websites,0.6540939584402328
724,211,Software_architecture,0.6540902025929631
701,34,FinancialRegulation,0.65408965569879
337,173,SPARQL,0.6540841284946897
109,142,Information_Retrieval,0.6540837605700902
109,146,Information Retrieval,0.6540837605700902
338,105,DSRM02_Systematic_study,0.6540829267102151
486,128,Advertising,0.6540775510925947
808,17,Biomedicine,0.6540768710768703
223,30,Financial_instrument,0.6540762693467942
727,75,GATE,0.6540746782610295
727,120,GATE,0.6540746782610295
696,83,Types_of_e-commerce,0.6540738270065238
1002,178,Database,0.6540732702953198
888,85,Non-store_retailing,0.6540715736665448
964,89,Business,0.6540702880539933
478,192,RequirementsManagement,0.6540683283141826
535,26,Financial_economics,0.6540639466967508
688,135,Unsupervised_learning,0.6540634835524
688,149,Unsupervised learning,0.6540634835524
875,209,Julia,0.6540630850679279
67,28,CapitalMarket,0.654062900376534
823,90,Business Intelligence,0.6540626202785168
897,60,Cloudera,0.654061537442113
849,30,Financial_instrument,0.6540608568900166
111,180,PostgreSQL,0.6540551562140493
588,38,Stock_Trader,0.6540550995327656
297,141,Machine learning,0.6540547340947703
297,144,Machine_learning,0.6540547340947703
918,103,DSRM01_Scientific_method,0.6540531284761034
595,96,ScholarlyMethod,0.6540530967463845
216,127,MarketingMix,0.654052351521226
214,215,Software_developer,0.6540507095754307
446,77,Waffles,0.6540477016773547
446,122,Waffles,0.6540477016773547
140,67,JMP,0.6540459040139013
140,113,JMP,0.6540459040139013
12,198,Programmer,0.6540448365716982
825,64,Hadoop,0.6540438554294782
556,60,Cloudera,0.6540423882904101
447,17,Biomedicine,0.6540411823525933
97,17,Biomedicine,0.6540341338621518
102,30,Financial_instrument,0.6540332888672022
591,17,Biomedicine,0.6540323637290117
723,216,R,0.6540314152956791
260,95,Corporate communication,0.6540313793267456
332,70,SPSS,0.6540312486982132
332,115,SPSS,0.6540312486982132
487,28,CapitalMarket,0.6540305395204049
701,107,RMO,0.6540305174373102
633,38,Stock_Trader,0.6540268496731909
360,170,CouchDB,0.6540204902054754
937,25,Financial_services,0.6540185114205113
794,37,Finance,0.6540170810960297
485,88,Business Management,0.6540141046212132
315,8,Master_degree,0.6540140562761629
351,47,Summary_Table_for_Statistical_Techniques,0.6540137779053372
529,213,Software_engineer,0.6540131672931825
611,88,Business Management,0.6540091398623074
721,76,KNIME,0.654008801397391
721,121,KNIME,0.654008801397391
126,66,SAS,0.6540063512780624
126,112,SAS,0.6540063512780624
126,197,SAS,0.6540063512780624
736,59,Cloud_Computing,0.6540061397466534
